Athlete,Country,Gender,Discipline,Event,Year,Medal
"BAZHUKOV, Nikolay",URS,Men,Cross Country Skiing,15KM,1976,Gold
"BAZHUKOV, Nikolay",URS,Men,Cross Country Skiing,4X10KM Relay,1976,Bronze
"BAZHUKOV, Nikolay",URS,Men,Cross Country Skiing,4X10KM Relay,1980,Gold
"BEATRIX, Jean Guillaume",FRA,Men,Biathlon,12.5Km Pursuit,2014,Bronze
"BECAERT, Sylvie",FRA,Women,Biathlon,4X6KM Relay,2006,Bronze
"BECAERT, Sylvie",FRA,Women,Biathlon,4X6KM Relay,2010,Silver
"BECHARD, Kelly",CAN,Women,Ice Hockey,Ice Hockey,2002,Gold
"BECHKE, Yelena",EUN,Women,Figure skating,Pairs,1992,Silver
"BECK, Hans",NOR,Men,Ski Jumping,K90 Individual (70M),1932,Silver
"BECK, Martina",GER,Women,Biathlon,4X6KM Relay,2010,Bronze
"BECKER, Sabine",GDR,Women,Speed skating,1500M,1980,Bronze
"BECKER, Sabine",GDR,Women,Speed skating,3000M,1980,Silver
"BECKERT, Stephanie",GER,Women,Speed skating,3000M,2010,Silver
"BECKERT, Stephanie",GER,Women,Speed skating,5000M,2010,Silver
"BECKERT, Stephanie",GER,Women,Speed skating,Team Pursuit,2010,Gold
"BEDARD, Eric",CAN,Men,Short Track Speed Skating,1000M,1998,Bronze
"BEDARD, Eric",CAN,Men,Short Track Speed Skating,5000M Relay,1998,Gold
"BEDARD, Eric",CAN,Men,Short Track Speed Skating,5000M Relay,2002,Gold
"BEDARD, Eric",CAN,Men,Short Track Speed Skating,5000M Relay,2006,Silver
"BEDARD, Myriam",CAN,Women,Biathlon,15KM,1992,Bronze
"BEDARD, Myriam",CAN,Women,Biathlon,15KM,1994,Gold
"BEDARD, Myriam",CAN,Women,Biathlon,7.5KM,1994,Gold
"BEDNAR, Vladimir",TCH,Men,Ice Hockey,Ice Hockey,1972,Bronze
"BEELI, Binia",SUI,Women,Curling,Curling,2006,Silver
"BEER, Manfred",GDR,Men,Biathlon,4X7.5KM Relay,1976,Bronze
"BEERLI, Joseph",SUI,Men,Bobsleigh,Four-Man,1936,Gold
"BEERLI, Joseph",SUI,Men,Bobsleigh,Two-Man,1936,Silver
"BEGG-SMITH, Dale",AUS,Men,Freestyle Skiing,Moguls,2006,Gold
"BEGG-SMITH, Dale",AUS,Men,Freestyle Skiing,Moguls,2010,Silver
"BEHLE-SCHAAF, Petra",GER,Women,Biathlon,4X7.5KM Relay,1998,Gold
"BEHRENDT, Jan",GDR,Men,Luge,Doubles,1988,Silver
"BEHRENDT, Jan",GER,Men,Luge,Doubles,1992,Gold
"BEHRENDT, Jan",GER,Men,Luge,Doubles,1994,Bronze
"BEHRENDT, Jan",GER,Men,Luge,Doubles,1998,Gold
"BEISER-JOCHUM, Trude",AUT,Women,Alpine Skiing,Alpine Combined,1948,Gold
"BEISER-JOCHUM, Trude",AUT,Women,Alpine Skiing,Downhill,1948,Silver
"BEISER-JOCHUM, Trude",AUT,Women,Alpine Skiing,Downhill,1952,Gold
"BELBIN, Tanith",USA,Women,Figure skating,Ice Dancing,2006,Silver
"BELFOUR, Ed",CAN,Men,Ice Hockey,Ice Hockey,2002,Gold
"BELIAKOV, Aleksandr",URS,Men,Luge,Doubles,1984,Silver
"BELLAMY, Kacey",USA,Women,Ice Hockey,Ice Hockey,2010,Silver
"BELLAMY, Kacey",USA,Women,Ice Hockey,Ice Hockey,2014,Silver
"BELMONDO, Stefania",ITA,Women,Cross Country Skiing,30KM,1992,Gold
"BELMONDO, Stefania",ITA,Women,Cross Country Skiing,4X5KM Relay,1992,Bronze
"BELMONDO, Stefania",ITA,Women,Cross Country Skiing,Combined 5KM + 10KM Pursuit,1992,Silver
"BELMONDO, Stefania",ITA,Women,Cross Country Skiing,4X5KM Relay,1994,Bronze
"BELMONDO, Stefania",ITA,Women,Cross Country Skiing,Combined 5KM + 10KM Pursuit,1994,Bronze
"BELMONDO, Stefania",ITA,Women,Cross Country Skiing,30KM,1998,Silver
"BELMONDO, Stefania",ITA,Women,Cross Country Skiing,4X5KM Relay,1998,Bronze
"BELMONDO, Stefania",ITA,Women,Cross Country Skiing,10KM,2002,Bronze
"BELMONDO, Stefania",ITA,Women,Cross Country Skiing,15KM Mass Start,2002,Gold
"BELMONDO, Stefania",ITA,Women,Cross Country Skiing,30KM,2002,Silver
"BELOUSOV, Vladimir",URS,Men,Ski Jumping,K120 Individual (90M),1968,Gold
"BELOUSOVA, Lyudmila",URS,Women,Figure skating,Pairs,1964,Gold
"BELOUSOVA, Lyudmila",URS,Women,Figure skating,Pairs,1968,Gold
"BELOVA, Yelena",EUN,Women,Biathlon,4X7.5KM Relay,1992,Bronze
"BELOVA, Yelena",EUN,Women,Biathlon,7.5KM,1992,Bronze
"BELUSOV, Evgeni",URS,Men,Luge,Doubles,1984,Silver
"BELYAEV, Yevgeny",URS,Men,Cross Country Skiing,15KM,1976,Silver
"BELYAEV, Yevgeny",URS,Men,Cross Country Skiing,4X10KM Relay,1976,Bronze
"BELYAEV, Yevgeny",URS,Men,Cross Country Skiing,4X10KM Relay,1980,Gold
"BENAK, Jaroslav",TCH,Men,Ice Hockey,Ice Hockey,1984,Silver
"BENC, Pavel",TCH,Men,Cross Country Skiing,4X10KM Relay,1988,Bronze
BENEDIC,FRA,Men,Curling,Curling,1924,Bronze
"BENHAM, Stanley Delong",USA,Men,Bobsleigh,Four-Man,1952,Silver
"BENHAM, Stanley Delong",USA,Men,Bobsleigh,Two-Man,1952,Silver
"BENN, Jamie",CAN,Men,Ice Hockey,Ice Hockey,2014,Gold
"BENOIT, Maurice",CAN,Men,Ice Hockey,Ice Hockey,1960,Silver
"BENT, John Peale",USA,Men,Ice Hockey,Ice Hockey,1932,Silver
"BENZ, Joseph",SUI,Men,Bobsleigh,Four-Man,1976,Silver
"BENZ, Joseph",SUI,Men,Bobsleigh,Two-Man,1976,Bronze
"BENZ, Joseph",SUI,Men,Bobsleigh,Four-Man,1980,Silver
"BENZ, Joseph",SUI,Men,Bobsleigh,Two-Man,1980,Gold
"BENZ, Laura",SUI,Women,Ice Hockey,Ice Hockey,2014,Bronze
"BENZ, Sara",SUI,Women,Ice Hockey,Ice Hockey,2014,Bronze
"BERANEK, Josef",CZE,Men,Ice Hockey,Ice Hockey,1998,Gold
"BEREZHNAYA, Elena",RUS,Women,Figure skating,Pairs,1998,Silver
"BEREZHNAYA, Elena",RUS,Women,Figure skating,Pairs,2002,Gold
"BERG, Aki-Petteri",FIN,Men,Ice Hockey,Ice Hockey,1998,Bronze
"BERG, Aki-Petteri",FIN,Men,Ice Hockey,Ice Hockey,2006,Silver
"BERGE, Guttorm",NOR,Men,Alpine Skiing,Slalom,1952,Bronze
"BERGER, Alfred",AUT,Men,Figure skating,Pairs,1924,Gold
"BERGER, John",SWE,Men,Cross Country Skiing,4X10KM Relay,1936,Bronze
"BERGER, Lars",NOR,Men,Cross Country Skiing,4X10KM Relay,2010,Silver
"BERGER, Tora",NOR,Women,Biathlon,15KM,2010,Gold
"BERGER, Tora",NOR,Women,Biathlon,10KM Pursuit,2014,Silver
"BERGER, Tora",NOR,Women,Biathlon,4X6KM Relay,2014,Bronze
"BERGER, Tora",NOR,Women,Biathlon,Relay Mix,2014,Gold
"BERGERON, Patrice",CAN,Men,Ice Hockey,Ice Hockey,2010,Gold
"BERGERON, Patrice",CAN,Men,Ice Hockey,Ice Hockey,2014,Gold
"BERGGREN, Emelie",SWE,Women,Ice Hockey,Ice Hockey,2002,Bronze
"BERGKVIST, Jonas",SWE,Men,Ice Hockey,Ice Hockey,1988,Bronze
"BERGKVIST, Jonas",SWE,Men,Ice Hockey,Ice Hockey,1994,Gold
"BERGLUND, Bo",SWE,Men,Ice Hockey,Ice Hockey,1980,Bronze
"BERGLUND, Bo",SWE,Men,Ice Hockey,Ice Hockey,1988,Bronze
"BERGLUND, Charles",SWE,Men,Ice Hockey,Ice Hockey,1994,Gold
"BERGLUND, Patrik",SWE,Men,Ice Hockey,Ice Hockey,2014,Silver
"BERGMAN, Emil",SWE,Men,Ice Hockey,Ice Hockey,1928,Silver
"BERGMAN, Ulrika",SWE,Women,Curling,Curling,2006,Gold
"BERGMANN, Arnfinn",NOR,Men,Ski Jumping,K90 Individual (70M),1952,Gold
"BERGOUST, Eric",USA,Men,Freestyle Skiing,Aerials,1998,Gold
"BERGSMA, Jorrit",NED,Men,Speed skating,10000M,2014,Gold
"BERGSMA, Jorrit",NED,Men,Speed skating,5000M,2014,Bronze
"BERGSTRAND, Kristina",SWE,Women,Ice Hockey,Ice Hockey,2002,Bronze
"BERGSTROEM, Kajsa",SWE,Women,Curling,Curling,2010,Gold
"BERNARD, Cheryl",CAN,Women,Curling,Curling,2010,Silver
"BERNDANER, Ignaz",FRG,Men,Ice Hockey,Ice Hockey,1976,Bronze
"BERNREITER, Franz",FRG,Men,Biathlon,4X7.5KM Relay,1980,Bronze
"BERNTSEN, Hedda",NOR,Women,Freestyle Skiing,Ski Cross,2010,Silver
"BERTHET, G.",FRA,Men,Biathlon,Military Patrol,1924,Bronze
"BERTHOD, Madeleine",SUI,Women,Alpine Skiing,Downhill,1956,Gold
"BERTRUP, Christina",SWE,Women,Curling,Curling,2014,Silver
"BESSMERTNYKH, Alexander",RUS,Men,Cross Country Skiing,4X10KM Relay,2014,Silver
"BESTEMYANOVA, Natalya",URS,Women,Figure skating,Ice Dancing,1984,Silver
"BESTEMYANOVA, Natalya",URS,Women,Figure skating,Ice Dancing,1988,Gold
"BETKER, Jan",CAN,Women,Curling,Curling,1998,Gold
"BEWERSDORFF, Uwe",GDR,Men,Figure skating,Pairs,1980,Bronze
"BIAKIN, Ilja",URS,Men,Ice Hockey,Ice Hockey,1988,Gold
"BIAKOV, Ivan",URS,Men,Biathlon,4X7.5KM Relay,1972,Gold
"BIAKOV, Ivan",URS,Men,Biathlon,4X7.5KM Relay,1976,Gold
"BIBBIA, Nino",ITA,Men,Skeleton,Individual,1948,Gold
"BICKFORD, James John",USA,Men,Bobsleigh,Four-Man,1948,Bronze
"BIDAUD, Laurence",SUI,Women,Curling,Curling,2002,Silver
"BIDSTRUP, Jane",DEN,Women,Curling,Curling,1998,Silver
"BIEBL, Heidi",EUA,Women,Alpine Skiing,Downhill,1960,Gold
"BIELER, Alfred",SUI,Men,Ice Hockey,Ice Hockey,1948,Bronze
"BIELER, Christoph",AUT,Men,Nordic Combined,Team,2002,Bronze
"BIELER, Christoph",AUT,Men,Nordic Combined,Team,2006,Gold
"BIELER, Christoph",AUT,Men,Nordic Combined,"Team, 4X5 KM",2014,Bronze
"BILJALETDINOV, Zinetula",URS,Men,Ice Hockey,Ice Hockey,1980,Silver
"BILJALETDINOV, Zinetula",URS,Men,Ice Hockey,Ice Hockey,1984,Gold
"BILODEAU, Alexandre",CAN,Men,Freestyle Skiing,Moguls,2010,Gold
"BILODEAU, Alexandre",CAN,Men,Freestyle Skiing,Moguls,2014,Gold
"BISSETT, David",CAN,Men,Bobsleigh,Four-Man,2010,Bronze
"BITTNER, Bodo",FRG,Men,Bobsleigh,Four-Man,1976,Bronze
"BJOERGEN, Marit",NOR,Women,Cross Country Skiing,4X5KM Relay,2002,Silver
"BJOERGEN, Marit",NOR,Women,Cross Country Skiing,10KM,2010,Bronze
"BJOERGEN, Marit",NOR,Women,Cross Country Skiing,30KM,2010,Silver
"BJOERGEN, Marit",NOR,Women,Cross Country Skiing,4X5KM Relay,2010,Gold
"BJOERGEN, Marit",NOR,Women,Cross Country Skiing,Combined 7.5 + 7.5Km Mass Start,2010,Gold
"BJOERGEN, Marit",NOR,Women,Cross Country Skiing,Sprint 1.5KM,2010,Gold
"BJOERGEN, Marit",NOR,Women,Cross Country Skiing,30KM,2014,Gold
"BJOERGEN, Marit",NOR,Women,Cross Country Skiing,Combined7.5+7.5,2014,Gold
"BJOERGEN, Marit",NOR,Women,Cross Country Skiing,Team Sprint,2014,Gold
"BJOERNDALEN, Dag",NOR,Men,Biathlon,4X7.5KM Relay,1998,Silver
"BJOERNDALEN, Ole Einar",NOR,Men,Biathlon,10KM,1998,Gold
"BJOERNDALEN, Ole Einar",NOR,Men,Biathlon,4X7.5KM Relay,1998,Silver
"BJOERNDALEN, Ole Einar",NOR,Men,Biathlon,10KM,2002,Gold
"BJOERNDALEN, Ole Einar",NOR,Men,Biathlon,12.5Km Pursuit,2002,Gold
"BJOERNDALEN, Ole Einar",NOR,Men,Biathlon,20KM,2002,Gold
"BJOERNDALEN, Ole Einar",NOR,Men,Biathlon,4X7.5KM Relay,2002,Gold
"BJOERNDALEN, Ole Einar",NOR,Men,Biathlon,12.5Km Pursuit,2006,Silver
"BJOERNDALEN, Ole Einar",NOR,Men,Biathlon,15KM Mass Start,2006,Bronze
"BJOERNDALEN, Ole Einar",NOR,Men,Biathlon,20KM,2006,Silver
"BJOERNDALEN, Ole Einar",NOR,Men,Biathlon,20KM,2010,Silver
"BJOERNDALEN, Ole Einar",NOR,Men,Biathlon,4X7.5KM Relay,2010,Gold
"BJOERNDALEN, Ole Einar",NOR,Men,Biathlon,10KM,2014,Gold
"BJOERNDALEN, Ole Einar",NOR,Men,Biathlon,Relay Mix,2014,Gold
"BJORGEN, Marit",NOR,Women,Cross Country Skiing,10KM,2006,Silver
"BJORKMAN, Ruben Eugene",USA,Men,Ice Hockey,Ice Hockey,1952,Silver
"BJÖRN, Lars Gunnar",SWE,Men,Ice Hockey,Ice Hockey,1952,Bronze
"BLACKBURN, Frédéric",CAN,Men,Short Track Speed Skating,1000M,1992,Silver
"BLACKBURN, Frédéric",CAN,Men,Short Track Speed Skating,5000M Relay,1992,Silver
"BLAHOSKI, Alana",USA,Women,Ice Hockey,Ice Hockey,1998,Gold
"BLAIR, Bonnie",USA,Women,Speed skating,1000M,1988,Bronze
"BLAIR, Bonnie",USA,Women,Speed skating,500M,1988,Gold
"BLAIR, Bonnie",USA,Women,Speed skating,1000M,1992,Gold
"BLAIR, Bonnie",USA,Women,Speed skating,500M,1992,Gold
"BLAIR, Bonnie",USA,Women,Speed skating,1000M,1994,Gold
"BLAIR, Bonnie",USA,Women,Speed skating,500M,1994,Gold
"BLAKE, Rob",CAN,Men,Ice Hockey,Ice Hockey,2002,Gold
"BLANC, Isabelle",FRA,Women,Snowboard,Giant Parallel Slalom,2002,Gold
"BLEILER, Gretchen",USA,Women,Snowboard,Half-Pipe,2006,Silver
"BLINOV, Viktor",URS,Men,Ice Hockey,Ice Hockey,1968,Gold
"BLINOV, Yuri",URS,Men,Ice Hockey,Ice Hockey,1972,Gold
"BLOKHUIJSEN, Jan",NED,Men,Speed skating,Team Pursuit,2010,Bronze
"BLOKHUIJSEN, Jan",NED,Men,Speed skating,5000M,2014,Silver
"BLOKHUIJSEN, Jan",NED,Men,Speed skating,Team Pursuit,2014,Gold
"BLOME, Gert",SWE,Men,Ice Hockey,Ice Hockey,1964,Silver
"BLOMQVIST, GÃ¶te",SWE,Men,Ice Hockey,Ice Hockey,1952,Bronze
"BLOMQVIST, Timo",FIN,Men,Ice Hockey,Ice Hockey,1988,Silver
"BOBROV, Vsevolod",URS,Men,Ice Hockey,Ice Hockey,1956,Gold
"BOBROVA, Ekaterina",RUS,Women,Figure skating,Team,2014,Gold
"BOCHATAY, Fernande",SUI,Women,Alpine Skiing,Giant Slalom,1968,Bronze
"BÖCKL, Willy",AUT,Men,Figure skating,Individual,1924,Silver
"BÖCKL, Willy",AUT,Men,Figure skating,Individual,1928,Silver
"BODEN, Jens",GER,Men,Speed skating,5000M,2002,Bronze
"BÖE, Anette",NOR,Women,Cross Country Skiing,4X5KM Relay,1980,Bronze
"BOE, Tarjei",NOR,Men,Biathlon,4X7.5KM Relay,2010,Gold
"BOEHLER, Stefanie",GER,Women,Cross Country Skiing,4X5KM Relay,2006,Silver
"BOEHLER, Stefanie",GER,Women,Cross Country Skiing,4X5KM Relay,2014,Bronze
"BOEHM, Daniel",GER,Men,Biathlon,4X7.5KM Relay,2014,Silver
"BOER, Margot",NED,Women,Speed skating,1000M,2014,Bronze
"BOER, Margot",NED,Women,Speed skating,500M,2014,Bronze
"BOGALIY-TITOVETS, Anna",RUS,Women,Biathlon,4X6KM Relay,2010,Gold
"BOGALIY, Anna",RUS,Women,Biathlon,4X6KM Relay,2006,Gold
"BOITANO, Brian",USA,Men,Figure skating,Individual,1988,Gold
"BOKKO, Havard",NOR,Men,Speed skating,1500M,2010,Bronze
"BOLDINE, Igor",EUN,Men,Ice Hockey,Ice Hockey,1992,Gold
"BOLLER, Heinrich",SUI,Men,Ice Hockey,Ice Hockey,1948,Bronze
"BONAGURA, Romano",ITA,Men,Bobsleigh,Two-Man,1964,Silver
"BONHOMME, Tessa",CAN,Women,Ice Hockey,Ice Hockey,2010,Gold
"BONICHON, Gianni",ITA,Men,Bobsleigh,Four-Man,1972,Silver
"BONLIEU, François",FRA,Men,Alpine Skiing,Giant Slalom,1964,Gold
"BONNA, Narve",NOR,Men,Ski Jumping,K90 Individual (70M),1924,Silver
"BONSACK, Klaus",EUA,Men,Luge,Singles,1964,Silver
"BONSACK, Klaus",GDR,Men,Luge,Doubles,1968,Gold
"BONSACK, Klaus",GDR,Men,Luge,Singles,1968,Bronze
"BONSACK, Klaus",GDR,Men,Luge,Doubles,1972,Bronze
"BOOS, Wolfgang",FRG,Men,Ice Hockey,Ice Hockey,1976,Bronze
"BORCKINK, Annie",NED,Women,Speed skating,1500M,1980,Gold
"BÖRJES, Hasse",SWE,Men,Speed skating,500M,1972,Silver
"BORLAND, James Andrew",GBR,Men,Ice Hockey,Ice Hockey,1936,Gold
"BÖRNER, Jacqueline",GER,Women,Speed skating,1500M,1992,Gold
"BORSTCHEVSKI, Nicolai",EUN,Men,Ice Hockey,Ice Hockey,1992,Gold
"BOS, Jan",NED,Men,Speed skating,1000M,1998,Silver
"BOS, Jan",NED,Men,Speed skating,1000M,2002,Silver
"BOTTERILL, Jennifer",CAN,Women,Ice Hockey,Ice Hockey,1998,Silver
"BOTTERILL, Jennifer",CAN,Women,Ice Hockey,Ice Hockey,2002,Gold
"BOTTERILL, Jennifer",CAN,Women,Ice Hockey,Ice Hockey,2006,Gold
"BOTTERILL, Jennifer",CAN,Women,Ice Hockey,Ice Hockey,2010,Gold
"BOTVINOV, Mikhail",AUT,Men,Cross Country Skiing,30KM Mass Start,2002,Silver
"BOTWINOV, Mikhail",AUT,Men,Cross Country Skiing,50KM,2006,Bronze
"BOUCHA, Henry",USA,Men,Ice Hockey,Ice Hockey,1972,Silver
"BOUCHER, Gaetan",CAN,Men,Speed skating,1000M,1980,Silver
"BOUCHER, Gaetan",CAN,Men,Speed skating,1000M,1984,Gold
"BOUCHER, Gaetan",CAN,Men,Speed skating,1500M,1984,Gold
"BOUCHER, Gaetan",CAN,Men,Speed skating,500M,1984,Bronze
"BOUDRIAS, Christine",CAN,Women,Short Track Speed Skating,3000M Relay,1994,Silver
"BOUDRIAS, Christine",CAN,Women,Short Track Speed Skating,3000M Relay,1998,Bronze
"BOULDEN, C.-B.",GBR,Men,Ice Hockey,Ice Hockey,1924,Bronze
"BOURBONNAIS, Roger",CAN,Men,Ice Hockey,Ice Hockey,1968,Bronze
"BOUVET, Didier",FRA,Men,Alpine Skiing,Slalom,1984,Bronze
"BOUVIER, Charles",SUI,Men,Bobsleigh,Four-Man,1936,Gold
"BOUWMEESTER, Jay",CAN,Men,Ice Hockey,Ice Hockey,2014,Gold
"BOUZEK, Vladimir",TCH,Men,Ice Hockey,Ice Hockey,1948,Silver
"BOVOLENTA, Arnaud",FRA,Men,Freestyle Skiing,Ski Cross,2014,Silver
"BOWDEN, Norris",CAN,Men,Figure skating,Pairs,1956,Silver
"BOWMAN, Maddie",USA,Women,Freestyle Skiing,Ski Halfpipe,2014,Gold
"BOYARSKIKH, Klavdiya",URS,Women,Cross Country Skiing,10KM,1964,Gold
"BOYARSKIKH, Klavdiya",URS,Women,Cross Country Skiing,3X5KM Relay,1964,Gold
"BOYARSKIKH, Klavdiya",URS,Women,Cross Country Skiing,5KM,1964,Gold
"BOYLE, Dan",CAN,Men,Ice Hockey,Ice Hockey,2010,Gold
"BOZEK, Megan",USA,Women,Ice Hockey,Ice Hockey,2014,Silver
"BOZHYEV, Oleg",URS,Men,Speed skating,1500M,1984,Bronze
"BOZON, Charles",FRA,Men,Alpine Skiing,Slalom,1960,Bronze
"BOZZETTO, Mathieu",FRA,Men,Snowboard,Giant Parallel Slalom,2010,Bronze
"BRAA, Oddvar",NOR,Men,Cross Country Skiing,4X10KM Relay,1972,Silver
"BRAA, Oddvar",NOR,Men,Cross Country Skiing,4X10KM Relay,1980,Silver
"BRAATEN, Kenneth",NOR,Men,Nordic Combined,Team,1998,Gold
"BRADBURY, Steven",AUS,Men,Short Track Speed Skating,5000M Relay,1994,Bronze
"BRADBURY, Steven",AUS,Men,Short Track Speed Skating,1000M,2002,Gold
"BRAND, Colette",SUI,Women,Freestyle Skiing,Aerials,1998,Bronze
"BRANDNER, Hans",FRG,Men,Luge,Doubles,1976,Silver
"BRANDTZÄG, Torgeir",NOR,Men,Ski Jumping,K120 Individual (90M),1964,Bronze
"BRANDTZÄG, Torgeir",NOR,Men,Ski Jumping,K90 Individual (70M),1964,Bronze
"BRANNASCH, Karsten",GER,Men,Bobsleigh,Four-Man,1994,Gold
"BRASSARD, Jean-Luc",CAN,Men,Freestyle Skiing,Moguls,1994,Gold
"BRASSEUR, Isabelle",CAN,Women,Figure skating,Pairs,1992,Bronze
"BRASSEUR, Isabelle",CAN,Women,Figure skating,Pairs,1994,Bronze
"BREDESEN, Espen",NOR,Men,Ski Jumping,K120 Individual (90M),1994,Silver
"BREDESEN, Espen",NOR,Men,Ski Jumping,K90 Individual (70M),1994,Gold
"BREDOW, Reinhard",GDR,Men,Luge,Doubles,1972,Gold
"BREHME, Albert",GER,Men,Bobsleigh,Four-Man,1932,Bronze
"BREITER, Robert",SUI,Men,Ice Hockey,Ice Hockey,1928,Bronze
"BREMER, V.E.",FIN,Men,Biathlon,Military Patrol,1924,Silver
"BRENCHLEY, Edgar",GBR,Men,Ice Hockey,Ice Hockey,1936,Gold
"BRENDEN, Hallgeir",NOR,Men,Cross Country Skiing,18KM,1952,Gold
"BRENDEN, Hallgeir",NOR,Men,Cross Country Skiing,4X10KM Relay,1952,Silver
"BRENDEN, Hallgeir",NOR,Men,Cross Country Skiing,15KM,1956,Gold
"BRENDEN, Hallgeir",NOR,Men,Cross Country Skiing,4X10KM Relay,1960,Silver
"BRENNER, Veronica",CAN,Women,Freestyle Skiing,Aerials,2002,Silver
"BREWER, Eric",CAN,Men,Ice Hockey,Ice Hockey,2002,Gold
"BREWSTER, Tom",GBR,Men,Curling,Curling,2014,Silver
"BRIAND BOUTHIAUX, Anne",FRA,Women,Biathlon,4X7.5KM Relay,1992,Gold
"BRIAND BOUTHIAUX, Anne",FRA,Women,Biathlon,15KM,1994,Silver
"BRIAND BOUTHIAUX, Anne",FRA,Women,Biathlon,4X7.5KM Relay,1994,Bronze
"BRIGHT, Torah",AUS,Women,Snowboard,Half-Pipe,2010,Gold
"BRIGHT, Torah",AUS,Women,Snowboard,Half-Pipe,2014,Silver
"BRISSON, Therese",CAN,Women,Ice Hockey,Ice Hockey,1998,Silver
"BRISSON, Therese",CAN,Women,Ice Hockey,Ice Hockey,2002,Gold
"BRIZA, Petr",TCH,Men,Ice Hockey,Ice Hockey,1992,Bronze
"BRODAHL, Sverre",NOR,Men,Cross Country Skiing,4X10KM Relay,1936,Silver
"BRODAHL, Sverre",NOR,Men,Nordic Combined,Individual,1936,Bronze
"BRODERICK, Kenneth",CAN,Men,Ice Hockey,Ice Hockey,1968,Bronze
"BRODEUR, Denis",CAN,Men,Ice Hockey,Ice Hockey,1956,Bronze
"BRODEUR, Martin",CAN,Men,Ice Hockey,Ice Hockey,2002,Gold
"BRODEUR, Martin",CAN,Men,Ice Hockey,Ice Hockey,2010,Gold
"BRODKA, Zbigniew",POL,Men,Speed skating,1500M,2014,Gold
"BRODKA, Zbigniew",POL,Men,Speed skating,Team Pursuit,2014,Bronze
"BROEKMAN, Cornelis",NED,Men,Speed skating,10000M,1952,Silver
"BROEKMAN, Cornelis",NED,Men,Speed skating,5000M,1952,Silver
"BROOKER, Charles",CAN,Men,Ice Hockey,Ice Hockey,1956,Bronze
"BROOKS, H.",CAN,Men,Ice Hockey,Ice Hockey,1948,Gold
"BROOME, Ralpf",GBR,Men,Bobsleigh,Four-Man,1924,Silver
"BROST, Todd",CAN,Men,Ice Hockey,Ice Hockey,1992,Silver
"BROTEN, Neal",USA,Men,Ice Hockey,Ice Hockey,1980,Gold
"BROWN-MILLER, Lisa",USA,Women,Ice Hockey,Ice Hockey,1998,Gold
"BROWN, Charles Erwin",USA,Men,Ice Hockey,Ice Hockey,1972,Silver
"BROWN, Dustin",USA,Men,Ice Hockey,Ice Hockey,2010,Silver
"BROWN, Ivan Elmore",USA,Men,Bobsleigh,Two-Man,1936,Gold
"BROWN, Jason",USA,Men,Figure skating,Team,2014,Bronze
"BROWN, Lascelles",CAN,Men,Bobsleigh,Two-Man,2006,Silver
"BROWN, Lascelles",CAN,Men,Bobsleigh,Four-Man,2010,Bronze
"BROWN, Shelley-Ann",CAN,Women,Bobsleigh,Two-Man,2010,Silver
"BROWN, V.",GBR,Men,Curling,Curling,1924,Gold
"BRUGGER, Kurt",ITA,Men,Luge,Doubles,1994,Gold
"BRUGGMANN, Edmund",SUI,Men,Alpine Skiing,Giant Slalom,1972,Silver
"BRUNET, Andrée",FRA,Women,Figure skating,Pairs,1924,Bronze
"BRUNET, Andrée",FRA,Women,Figure skating,Pairs,1928,Gold
"BRUNET, Andrée",FRA,Women,Figure skating,Pairs,1932,Gold
"BRUNET, Marie Laure",FRA,Women,Biathlon,10KM Pursuit,2010,Bronze
"BRUNET, Marie Laure",FRA,Women,Biathlon,4X6KM Relay,2010,Silver
"BRUNET, Pierre",FRA,Men,Figure skating,Pairs,1924,Bronze
"BRUNET, Pierre",FRA,Men,Figure skating,Pairs,1928,Gold
"BRUNET, Pierre",FRA,Men,Figure skating,Pairs,1932,Gold
"BRUNNER, Karl",ITA,Men,Luge,Doubles,1980,Silver
"BRUNNER, Melitta",AUT,Women,Figure skating,Pairs,1928,Bronze
"BRUSVEEN, Haakon",NOR,Men,Cross Country Skiing,15KM,1960,Gold
"BRUSVEEN, Haakon",NOR,Men,Cross Country Skiing,4X10KM Relay,1960,Silver
"BRYANT, Precy D.",USA,Men,Bobsleigh,Four-Man,1932,Silver
"BRYANT, Precy D.",USA,Men,Bobsleigh,Two-Man,1932,Bronze
"BRYZGALOV, Ilja",RUS,Men,Ice Hockey,Ice Hockey,2002,Bronze
"BUAAS, Kjersti",NOR,Women,Snowboard,Half-Pipe,2006,Bronze
"BUBLA, Jiri",TCH,Men,Ice Hockey,Ice Hockey,1976,Silver
"BUBNIK, Gustav",TCH,Men,Ice Hockey,Ice Hockey,1948,Silver
"BUBNIK, Vlastimil",TCH,Men,Ice Hockey,Ice Hockey,1964,Bronze
"BUCHNER, Mirl",FRG,Women,Alpine Skiing,Downhill,1952,Silver
"BUCHNER, Mirl",FRG,Women,Alpine Skiing,Giant Slalom,1952,Bronze
"BUCHNER, Mirl",FRG,Women,Alpine Skiing,Slalom,1952,Bronze
"BUKIN, Andrey",URS,Men,Figure skating,Ice Dancing,1984,Silver
"BUKIN, Andrey",URS,Men,Figure skating,Ice Dancing,1988,Gold
"BULIGINE, Sergei",URS,Men,Biathlon,4X7.5KM Relay,1984,Gold
"BULIS, Jan",CZE,Men,Ice Hockey,Ice Hockey,2006,Bronze
"BULLO, Nicole",SUI,Women,Ice Hockey,Ice Hockey,2014,Bronze
